iter	Logloss
0	0.5575186615
1	0.4442410664
2	0.3495771395
3	0.2772976589
4	0.2199462271
5	0.1762274391
6	0.1429729602
7	0.118876364
8	0.09663789843
9	0.07886533063
10	0.06549647818
11	0.05549456391
12	0.0482085283
13	0.04133287812
14	0.03592015592
15	0.03150190257
16	0.02779082747
17	0.02460373129
18	0.02194077465
19	0.02006889733
20	0.01840210892
21	0.01695303732
22	0.01578788311
23	0.01459886567
24	0.01357711792
25	0.01268096428
26	0.01198346666
27	0.01132534793
28	0.01070994079
29	0.01025721638
30	0.01022181468
31	0.009759644422
32	0.009398331692
33	0.009014307827
34	0.008961689326
35	0.008934272747
36	0.008611881268
37	0.008585532856
38	0.008555463675
39	0.008521233115
40	0.008224227556
41	0.008148242233
42	0.008078251126
43	0.008047253062
44	0.007976937378
45	0.007873234316
46	0.007850969
47	0.007756632088
48	0.007741304004
49	0.007709078362
50	0.007515087419
51	0.007307897412
52	0.00725901268
53	0.007242494248
54	0.007239404569
55	0.00716531808
56	0.007129856025
57	0.007064978399
58	0.00688200071
59	0.006693145354
60	0.006640828879
61	0.006559227436
62	0.006509851993
63	0.006452343075
64	0.006452289619
65	0.006438579513
66	0.006398332528
67	0.006357003032
68	0.006322580636
69	0.006306919093
70	0.00627737079
71	0.006237592072
72	0.006109997617
73	0.006008931572
74	0.005990197057
75	0.005977994713
76	0.005939754144
77	0.005891091927
78	0.005813801348
79	0.005771811635
80	0.005771811635
81	0.005692996315
82	0.005680584375
83	0.005647334289
84	0.005589788078
85	0.005567743556
86	0.005512431132
87	0.005466899612
88	0.00541939737
89	0.005350882251
90	0.005331770093
91	0.005306482552
92	0.00527328186
93	0.005259230605
94	0.005236885407
95	0.005200820576
96	0.005180344328
97	0.005154990605
98	0.005073195214
99	0.005027939814
100	0.004995110125
101	0.004916343577
102	0.004903964112
103	0.004880473744
104	0.004851620422
105	0.004820896414
106	0.004820895402
107	0.0047921492
108	0.0047921492
109	0.0047921492
110	0.004715707683
111	0.00470152705
112	0.004667606542
113	0.004632267135
114	0.004602857595
115	0.004584425378
116	0.004529462053
117	0.004497635952
118	0.004485250254
119	0.004431028399
120	0.004406717122
121	0.004406714873
122	0.004406714873
123	0.004406698491
124	0.004406696245
125	0.004350370795
126	0.004334987036
127	0.004319916095
128	0.00427989112
129	0.004264279116
130	0.004264262862
131	0.004251107144
132	0.004234473048
133	0.004197050555
134	0.004172060651
135	0.004127402628
136	0.004103759871
137	0.00409292147
138	0.004066319348
139	0.004057746917
140	0.004057744436
141	0.004038492387
142	0.00400491377
143	0.003959468787
144	0.003951626309
145	0.00393764812
146	0.00391605485
147	0.003899135626
148	0.003899121424
149	0.003857780097
150	0.003819844491
151	0.003798326262
152	0.003783583213
153	0.00376375931
154	0.00376375931
155	0.003737157081
156	0.003706942772
157	0.003675232312
158	0.003660958998
159	0.003648278261
160	0.003629841651
161	0.003620926085
162	0.003604229806
163	0.003579365206
164	0.003552142246
165	0.003552140903
166	0.003507155935
167	0.003497477621
168	0.003497477621
169	0.003470556254
170	0.003433750415
171	0.003433735983
172	0.003423303325
173	0.003408537247
174	0.003400533678
175	0.003395546319
176	0.003379452822
177	0.003333230996
178	0.003308508528
179	0.003290454472
180	0.003278448344
181	0.003239936266
